title,author,keywords,abstarct,url,vol,year,journal
"Food and Gender Images of the Kam in Guizhou, China",Shu-jung Lin,"food, production, personhood, marriage exchange, gender image, social reproduction","The Kam people of Guizhou, China construct their gender relationships in the contexts of food production, exchange, and consumption. After examining gendered work divisions to understand how the Kam practice everyday gender relationships, I discuss images of love and sentiment associated with peanuts, which are treated as “women’s food.” Peanuts are usually produced by women in fields that are mostly segregated from those cared for by men, and are generally tended by individual women or women’s groups. During courtship, peanuts are occasionally raised with male cooperation, thereby embodying images of play and of being “a guest” preceding marriage. During the period of marriage exchange, men (as wife-takers) regularly send portions of glutinous steamed rice to the women’s clans until their first pregnancies and eventual transfer to male households. Rice, which is grown in “men’s” fields, must be co-worked by men and women during the harvest season before wives move into their husbands’ households. The harvest ritual expresses a sense of rice as the main substance for “the constitution of the person” as well as social reproduction. In this paper I also analyze such forms of discourse as myths and songs in addition to taboos and rituals to understand the construction of Kam food symbolism and gender image. In myths and ancient songs that are still performed today, the chicken is used as a symbol to express female social reproduction images, while men and their patrilineal groups make annual offerings of pork and steamed rice to local female deities in recog",http://homepage.ntu.edu.tw/~anthro/download/journal/67-3.pdf,67,2007,Journal of Archaeology and Anthropology
"Rice, Deer and Rooster: Foods, Power and Gender Symbols Among the Kavalan of Taiwan",Pi-chen Liu,"food, gender, power, symbolic aspects, sex differences, rice","This paper uses documentation, narratives of senior informers and analyzes the still-practiced rituals, related mythology and the prohibition of daily foods in Kavalan village in Sinshe (Hualian County, Taiwan) in attempt to reconstruct the subtle and complex associations of representation between food-centered activities, meaning and gender relations among the Kavalan. Foods of the Kavalan, for example, rice and cocks, which were mainly women’s responsibilities, and wild deer, which were hunted by men were produced, consumed, shared or exchanged, and also had significance in terms of describing phenomena and carrying meanings. These signs were the medium of communication among people, expressing their thoughts and emotions, and also the representation of their sharing, which can be regarded as a practice of social production/ reproduction and a field of action. At the same time, these signs were used to construct distinct male and female subjects. In this paper, we will argue that each process of subjectivization was somewhat different. Distinct contexts produce different gender images and gender relationships, for example, the change from dry-rice to wet-rice, the Japanese colonial government’s involvement in wet-rice production, the hunting ban, the belief in the God of Land of the Han Chinese, the encounter with Christianity, and then the influence of capitalism and globalization today, etc. In other words, the construction of gender and the production/ consumption/exchange of food were not simply vested or unchanged categories, but continuously interacting.",http://homepage.ntu.edu.tw/~anthro/download/journal/67-4.pdf,67,2007,Journal of Archaeology and Anthropology
Engendered Food: An Example of dang-guei (Angelica Sinensis),Hsun Chang,"hygiene dietetics, engendered food, engendered medicine, engendered body, medicalized menstruation","There are abundant of publications on the studies of body, gender, and material by both world and Taiwanese anthropologists. A system of diet therapy under the instruction of hygiene dietetics is unique to Chinese foodways. The author chooses Angelica sinensis as a subject to trace the medical records of its being engendered by traditional Chinese medical doctors and by ordinary people. Fieldwork information collected form Dajia Town, Taizhong County will also be discussed. Sex is not about biology nor is gender about social-culture. Sex and gender are interconnected and interpenetrated. This article follows C. Geertz’ and S. Errington’s idea of unfinished human nature, will discuss how Chinese women learn their “biological” body through the media of the dang-guei.",http://homepage.ntu.edu.tw/~anthro/download/journal/67-5.pdf,67,2007,Journal of Archaeology and Anthropology
Grooved Stone Sinker and Cast Net of Prehistorical Taiwan,Yu-pei Chen,"grooved stone sinker, cast net, Austronesian","The double grooved stone net sinker is one of the most frequently-seen archaeological remains from Taiwan sites, mainly neolithic. The sinker was tied to the edges of a cast net. Cast net fishing is usually applied at riversides, lagoons and the seashore. Cast-net fishing is considered as a unique fishing method, and was in widespread use within the Taiwan region. However, the line-hook method was a common fishing technique in the Taiwan peripheral area. Although cast-net fishing has also been found on the Pacific archipelagoes, it is believed this method was not introduced to these islands until much later. Besides, there were almost no double grooved stone net sinkers discovered from prehistoric sites. The research on the“Patu” and the“bark beater”, which is cited to support the close relationship between Taiwan’s prehistory and the Austronesian's peoples, compares archaeological data with the ethnographic data of today's Austronesians. Note however, that the time gap should be taken into consideration in these kind of comparison studies.",http://homepage.ntu.edu.tw/~anthro/download/journal/67-6.pdf,67,2007,Journal of Archaeology and Anthropology
Failed Families and Quiet Individualism: Domestic Abuse and Women’s Strategies of Resistance in Urban Taiwan,Marc L. Moskowitz,"domestic abuse, family, filial piety, gender, quiet individualism, Taiwan","The tensions between individual desires and the needs of the family exist in any society. Yet in Taiwan there is a greater rhetorical emphasis on self sacrifice for the needs of family than in many Western nations. In the following pages I will draw on several interviews and closely examine five in depth interviews of domestic abuse in Taiwan in order to explore just how far individual sacrifices can be demanded in the name of familial responsibility. These are by no means common cases in Taiwan but they highlight tensions between individual needs and group obligations in starker clarity than average familial relations. Confucianism is so male oriented that its effects on women are understudied. The following pages will demonstrate the tremendous moral and psychological force that Confucianism has also had on women. The extent to which the women in these accounts have suffered for their families is shocking, yet their stories also highlight the fact that even in the most extreme cases of familial abuse, individuals still maneuver to fulfill their own wants and needs to the degree that it is possible. This demonstrates what I have called Quiet Individualism, as opposed to the more overt Western Enlightenment form of Individualism, in that individuals attempt to protect their own interests while maintaining an ideological commitment to Confucian precepts that familial concerns outweigh individual interests.",http://homepage.ntu.edu.tw/~anthro/download/journal/67-7.pdf,67,2007,Journal of Archaeology and Anthropology
Using Intellectual Property Rights to Protect Indigenous Cultures:Critique on the Recent Development in Taiwan,Kai-Shyh Lin,"intellectual property rights, indigenous peoples in Taiwan, cultural rights, traditional intellectual creation","After the establishment of the Council of Indigenous Affairs, the indigenous people’s movement in Taiwan began to turn its attention to the problem of passing special legislations to advance and consolidate gains and benefits. One of the major developments in recent years was the use of intellectual property rights to protect and promote indigenous cultures. Examining the “Protection Act for the Traditional Intellectual Creations of Indigenous Peoples” passed by the legislators in 2007, this article points out that even though the Act tries to circumvent limitations of current intellectual property right law, its basic assumptions about the nature of cultural tradition are too idealized and rigid to cope with the complexity of socio-cultural dynamics in Taiwan. The political construction of ethnic classification by various colonial regimes in the past and the flexible tradition of indigenous art and crafts in the present all challenge any attempt to erect hard boundaries among different ethnic cultures. Thus, this article argues that the Protection Act is not just unnecessary but could be detrimental to the vitality and creativity of indigenous cultures in contemporary Taiwan.",http://homepage.ntu.edu.tw/~anthro/download/journal/67-8.pdf,67,2007,Journal of Archaeology and Anthropology
The Reinvention of Ethnicity and Culture: A Comparative Study on the Atayal and the Truku in Taiwan,Mei-hsia Wang,"ethnicity, identity, reinvention of culture, Atayal, Truku","In this paper, I have examined the ethnic classification based on the Japanese colonial background in the first part. Secondly, I have discussed the process of the Truku Name Rectification Campaign and the standards of definition of an ethnic group proposed by the leaders of the campaign. These standards reflect the objective classification in contemporary society, therefore, the “objective” standards led to many conflicts. In order to understand the name rectification campaign, understanding the Taiwanese political and economical background is necessary. On the one hand, the government in power supported the ethnic group campaign to highlight that Taiwan is a country with multiple ethnic groups or to gain votes. On the other hand, elite aboriginals could participate in politics and increase the numbers of members in Congress. Also, they could promote a self-governing movement to change the aboriginal disadvantages in politics, economics and culture. When the name campaign succeeded, how to reconstruct “Truku culture” became an important issue. The ancestral ritual provides a field on which to congregate the “Truku” collective consciousness. Although ancestral rituals disappeared when the Presbyterian Church questioned their legitimacy, these processes created a chance for people to integrate modern beliefs into traditional culture. This cultural reinvention is continuing. Finally, I have made a comparison between the Atayal and the Truku cultures, especially focusing on their two key cultural concepts ─ gaga (gaya) and lyutux (utux). This illustrates how cultures are redefined and practiced differently, according to their local contexts. The invention of culture is ongoing in the locals’ everyday lives, rather than only taking place in the social movement, e.g., the Name Rectification movement. ",http://homepage.ntu.edu.tw/~anthro/download/journal/68-1.pdf,68,2008,Journal of Archaeology and Anthropology
Examining Possible Prehistoric Ceramic Transfers among Six New Caledonian Lapita Sites Through Petrographic Analysis,"Scarlett Chiu, Yi-lin Chen, Chun-lin Lin","Lapita Cultural Complex, petrographic analysis, New Caledonia","The diversity observed from aspects of manufacture techniques, decoration motifs, and morphology of Lapita pottery has long been employed by Pacific archaeologists to identify social group boundaries and classify different cultural periods, as they investigate the spread of the Austronesian-speaking populations into the vast Oceania. The ultimate research goal aims to discover possible raw material procurement areas and pottery-making workshops in New Caledonia through identifying tempers originated from specific geological zones and site-specific patterns of paste preparation, in both petrographic and chemical compositions, in order to discuss prehistoric ceramic transfers and the inferred social and economic meanings of Lapita pottery. This paper summarizes results of the petrographic studies of the research, and outlines a preliminary interpretation for the ceramic transfers occurred among these sites, in order to provide valuable information for future chemical compositional studies.",http://homepage.ntu.edu.tw/~anthro/download/journal/68-2.pdf,68,2008,Journal of Archaeology and Anthropology
Sakizaya’s Name Rectification Campaign under the Perspective of Cultural Construction,"Shiun-wey Huang, Yih-ju Su","Sakizaya, Name Rectification Campaign, ethnie, cultural construction, ‘traditional costumes’, Palamal (the Fire God Ritual)","After the KMT succeeded the Japanese colonial government in Taiwan in 1945, officials continued to apply the then current method of categorizing Taiwanese aborigines into nine groups. Since the 1980’s, though, many aboriginal groups have launched name rectification campaigns and have called for ‘independence’ from their originally designated groups. The occurrence of various name rectification campaigns not only sheds light on the inadequacies of the old system of categorization, but also reflects the rise of the aborigines’ own awareness. The Sakizaya’s Name Rectification Campaign can be observed in this context. Dutch records from the 17th century identify the Sakizaya as a distinct group different from the Amis people. The decline of the Sakizaya was initiated by the Jia-Li-Wan event in 1878. After defeat by Ching soldiers the Sakizaya obscured their identities by mixing themselves among the Amis. When the Japanese started their ethnographic research in the early 20th century, the Sakizaya had become relatively “Amis-ized,” and were regarded as a sub-branch of the Amis for both academic and official purposes. The Sakizaya’s new ethnic group movement was initiated in 1990. On January 17, 2007 the Sakizaya gained official recognition as an independent aboriginal group. Rather than focusing on the government’s procedures of ethnic group identification, this paper intends to investigate the strategies of movement activists. It not only examines the concept of cultural construction but also explains why this concept is so important in understanding the case of Sakizaya. Furthermore it interprets two major constructions in this campaign. The first one is the so called ‘traditional costumes’, which were invented as a distinguishing ethnic symbol. The second one is Palamal (the Fire God Ritual). On the basis of using the symbol of fire, this ritual serves to recall participants’ historical memory of ancestors who died in the Jia-Li-Wan event and reinforce their Sakizaya identity at the same time.",http://homepage.ntu.edu.tw/~anthro/download/journal/68-3.pdf,68,2008,Journal of Archaeology and Anthropology
The Archaeology of House Societies,Chih-hua Chiang,"house society, Austronesian societies, social memory, prehistoric societies","The concept of House Society was first proposed by Lévi-Strauss in the 1950s. Because this concept provides a link between material culture and social organization, it offers archaeologists an avenue to discuss prehistoric social relations. This article reviews anthropological and archaeological research of the House Society concept and specifically examines cultural anthropologists' usage of this model to understand Austronesian social organization in Southeast Asia. Additionally, a review of archaeological approaches using House Society to discuss social relations is examined. Finally, I suggest that this concept can be an important and useful idea for archaeological research in Taiwan. Cultural anthropologists have identified common traits among the Austronesian societies associated with material culture which provide archaeologists evidence to investigate prehistoric social organization. Three ways of applying the House Society concept to archaeology are recognized. The first, is to emphasize the continuous presence of this type of social organization among Austronesian societies. House Society is regarded as an ancient pattern that can be traced through prehistoric Austronesian societies. Second, House Society is viewed as a heuristic device to consider the relationship between architecture, social relations and cultural categories. The third is to consider House Society as a form of social organization in social history which can then be tested worldwide. The purpose of reviewing archaeological research regarding House Societies around the world is to emphasize the potential forf using this concept to understand prehistoric Taiwanese societies. Also, this concept can help archaeologists to reinterpret archaeological data recovered from Taiwan.",http://homepage.ntu.edu.tw/~anthro/download/journal/68-4.pdf,68,2008,Journal of Archaeology and Anthropology
