title,author,keywords,abstarct,url,vol,year,journal
"Panel VECM Approach to Examining Differences in Labour, Capital and Total Factor Productivity on Large Companies' Export Revenue and Export Intensity",Maja Bašić,"Total factor productivity, Labour productivity, Export, Export intensity, Vector error correction model (VECM), Impulse response function, Large companies","In order to answer how increases in total factor productivity, labour productivity and capital productivity affect equilibrium export growth and export intensity growth, a panel vector error correction model (VECM) is applied onto a firm level data of Croatia's 300 largest exporters in the period 2006-2015. Significance of this study is twofold. Firstly, VECM approach determines short and long run responses to shocks in total factor productivity, labour productivity and capital productivity. Results show that shocks in total factor productivity affects export growth but not export intensity growth. Labour productivity shocks do not affect export or export intensity growth, while capital productivity shocks have an effect on both export and export intensity, whereby the system takes longer to go back to equilibrium after capital productivity shocks than total productivity shocks. Secondly, managerial and policy implications of short-term and long-term effects of total factor productivity and labour productivity on export and export intensity growth are discussed.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-N202301090004-00001,50.4,2022,Academia Economic Papers
Firm and Export Heterogeneity in Export Growth: Evidence from China,"Chih-Hai Yang, Meng-Wen Tsou","Export growth, Foreign ownership, Export margins, Processing exports","This study examines the roles of firm characteristics and export heterogeneity in export growth. An analysis of the 2001-2007 firm-customs data set from China reveals that small and young firms exhibit higher export growth than large and mature firms. Conversely, foreign-invested enterprises (FIEs), particularly joint ventures, exhibit a significantly lower export growth rate relative to private firms. Export type, market choice, and export variety are influential factors in export growth rate. A higher ratio of processing exports and a larger share of exports to advanced economies increase the growth rate of exports. Product variety and number of destinations are also positively associated with export growth. Considerable differences in the determinants of export growth exist between FIEs and domestic firms and between processing and ordinary export-oriented firms.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-N202301090004-00002,50.4,2022,Academia Economic Papers
Preemption in a Linear City,Chia-Hung Sun,"Timing game, Preemption game, Location theory, Spatial discrimination","Based on Fudenberg and Tirole's (1985) preemption game, this study investigates both the theory of endogenous location and the timing of entry in a spatial discrimination model with a linear city. Two firms first decide when to enter the market and where to locate their respective plant and then compete in price or quantity in the product market at each instance. We find that the equilibrium involves sequential entry, with the leader locating at one endpoint and the follower locating in the interior of the linear city. The location differentiation in the Cournot model is increasing in transportation cost, whereas in the Bertrand model it is decreasing. The location differentiation and timing differentiation are both larger under Bertrand competition than under Cournot competition.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-N202301090004-00003,50.4,2022,Academia Economic Papers
"THE INTERNET, SLASH, AND WAGE",Wehn-Jyuan Tsai,"Internet, Labor supply, Slash, Wage, Wage inequality","An increase in overall Internet penetration is widely considered by policymakers as a viable way to combat poverty and close the urban-rural wage gap. Few studies, however, provide empirical evidence on the economic impact of the Internet. In this paper, we use the 1996-2005 sets of Family Income and Expenditure Survey to study the effects of the Internet on individual labor supply behavior and regional wage inequality. In an empirical model of labor supply, we use an Internet-enabled employee dummy and the density of local telephone subscribers twenty-nine years ago as instruments for the household Internet adoption variable. The empirical results suggest that the Internet does not have any statistical effect on individuals finding a job, whereas it indeed helps those employees developing multiple careers. In addition, our results show that the Internet might exacerbate regional wage inequality.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202209-202210070012-202210070012-287-323,50.3,2022,Academia Economic Papers
"ANTIDUMPING POLICY, EXPORTS, AND FOREIGN DIRECT INVESTMENT: AN EMPIRICAL ANALYSIS OF TAIWAN",Chia-Ching Lin,"Antidumping, Exports, Foreign direct investment, Taiwanese firms","There is currently no comprehensive study of the impact of antidumping allegations on the exports of Taiwanese firms. This research focuses on 70 antidumping allegations involving companies listed in Taiwan, taking into consideration the role of foreign direct investment (FDI). The empirical analysis shows that, in general, antidumping allegations negatively influence the exports of the Taiwanese firms involved. Further, for companies engaged in FDI, such activities were favorable to their exports and helped mitigate the negative effects of the antidumping allegations. The favorable influence, however, does not exist if a firm chose Mainland China as their target country for investment.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202209-202210070012-202210070012-325-356,50.3,2022,Academia Economic Papers
"ON-THE-JOB TRAINING SUBSIDY, WAGE INEQUALITY AND GROWTH IN A TWO-ENGINE GROWTH MODEL",Wei-Neng Wang,"On-the-job training subsidy, Wage inequality, Two engines of growth","This paper develops an endogenous growth model with two engines, R&D and capital with endogenous skill accumulation. Analytically, on-the-job training subsidies not only enhance the ratio of high-skilled to low-skilled workers, it also decreases wage inequality. The effects of on-the-job training subsidies on GDP growth, however, is ambiguous. The calibration results show that GDP growth exhibits an inverted U-shaped relationship with on-the-job training subsidies. That is, an increase in on-the-job training subsidies boosts overall growth and reduce wage inequality, provided that the status quo on-the-job training subsidies are moderate. Moreover, there exists a growth-maximizing subsidy rate, which decreases with the efficiency of skill accumulation, with the substitution elasticity between high-skilled and low-skilled workers in the capital-good sector, and with the depreciation rate of existing skills.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202209-202210070012-202210070012-357-401,50.3,2022,Academia Economic Papers
REVISITING TAIWAN'S NEW PENSION SCHEME AND THE RELATED WELFARE PAYMENT POLICIES ON PRIVATE SECTOR WAGES,"Chien-Liang Chen, Chung-Ming Kuan","New labor pension scheme, Welfare payment, Wages","This study examines the impact of Taiwan's new labor pension scheme that started in 2005, and the related welfare payment policies implemented afterward, on private sector wages. Focusing on the average and quantile treatment effects derived from difference-in-differences models, this study investigates how these heterogeneous labor welfare payment policies suppress wage growth. The empirical results show that employers tend to transfer the costs of mandated benefits to employees while the suppressing effects were positively associated with wage distribution and duration of policy implementation.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202206-202207050019-202207050019-155-198,50.2,2022,Academia Economic Papers
THE IMPACT OF TAX INFORMATION EXCHANGE AGREEMENTS ON BROKEN LINKS IN OVERSEAS OWNERSHIP STRUCTURE OF TAIWAN'S MULTINATIONAL CORPORATIONS,"Shinemay Chen, Wei-Min Hu, Cheng-Hsin Lin","Corporate ownership structure, Broken ownership links, Tax information exchange agreement, Double tax agreement, Tax haven","Due to the opacity of tax havens, multinational corporations (henceforth MNCs) have implemented harmful tax practices that erode the tax base of their home countries. To combat international tax avoidance and profit shifting, the OECD has promoted tax information exchange agreements (TIEAs) since 2000. In 2012, OECD also mandated that countries or regions on the tax haven blacklist must sign at least 12 bilateral agreements on the exchange of information that meet the OECD transparency standard. The increased information sharing between tax authorities makes it more difficult for multinationals to shift profits offshore to avoid taxes; tax havens, therefore, are losing their charm. Whether the expansion of the TIEAs network will delink tax havens from MNCs' ownership structure is unclear. To explore this question, this paper uses TEJ's financial data to examine how the Tax Information Exchange and Tax Havens mechanism affects multinational corporations' shareholding structure. The results show that the number of delinks related to tax havens is relatively high, and the expansion of the TIEA network negatively impacts delinks. In addition, when tax havens sign more TIEAs with other countries or regions, delinks increase.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202206-202207050019-202207050019-199-239,50.2,2022,Academia Economic Papers
THE EXTENT OF IMPLICIT TAX AT THE CORPORATE LEVEL AND TAX REFORM,"Jenn-Shyong Kuo, Tsan-Yu Wu, Yilien Han, Yen-Ju Chen","Implicit tax, Tax reform, Statute for industrial innovation, Tax preference","This study explores whether Taiwan's Tax Reform Act of 2010 (TRA2010) affected implicit corporate taxes. The literature mostly uses explicit taxes paid to the government to measure tax burden, whereas the implicit tax, the reduced pre-tax rate of return for enterprises enjoying tax preferences, is often neglected. Applying both direct and indirect methods, this study uses data from TSEC- and OTC-listed companies from 1999 to 2017. Several results emerge: first, pre-tax rate of return is positively related to effective tax rates, indicating that tax preferences induce the implicit tax; second, the implicit tax decreased across industries, especially for high-tech industries, after TRA2010; third, under the direct method, the implicit tax of traditional industries does not show significant difference after TRA2010; and fourth, under the direct method, the implicit tax of high-tech industries is significantly higher than that of traditional industries. Taken together, the results demonstrate that high-tech corporations enjoyed more tax preferences before TRA2010, and that the differences in the implicit tax between the two industries narrowed after TRA2010. Hence, the purpose of TRA2010, to decrease variation in tax preferences across industries, was achieved.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202206-202207050019-202207050019-241-285,50.2,2022,Academia Economic Papers
Effects of a Per-Bag Trash Collection Fee Program: Evidence from a Synthetic Control Method,"Frank Yao Huang, Po-Chun Huang","Per-bag trash collection fee, Synthetic control method, Waste avoidance, Waste substitution","Pay As You Throw (PAYT) policies are implemented worldwide to reduce waste. This paper estimates the effects of a PAYT policy in New Taipei City-per-bag trash collection fee (PBCF) program-on households' waste disposal. Under the PBCF, people have to buy certified bags for their unsorted waste, while sorted waste (food and recyclable waste) is disposed of for free. We apply a synthetic control method that allows cities/counties to have different trends in waste disposal. The estimation results using the city/county-level administrative data suggest that the PBCF decreases unsorted waste by about 27.2% and recyclable waste by about 20.8%. Food waste almost doubles in the short term, but the magnitude gradually reduces over time. Overall, the program reduces total waste by about 17.4%. These results suggest that waste avoidance behavior resulting from the PBCF appears not only in unsorted waste but also in recycling. Finally, we estimate that the welfare gain from the PBCF is about 30,000 NTD per household per year.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202203-202204010021-202204010021-1-39,50.1,2022,Academia Economic Papers
