title,author,keywords,abstarct,url,vol,year,journal
The Influence Experience of Family Strengths on Adolescent’s Career Purpose Development,"Yu-Chen Wang, Chia-Hui Lin, Yi-Hsin Liu, Tzu-Jung Chang","career-oriented purpose, family strengths, grounded analysis, parent-child","Career-oriented purpose (Damon, 2008) is an inner, firm intention toward one’s future career, which brings pleasure, satisfaction, and meaningfulness to individuals. The exploration of career-oriented purpose specifically focuses on adolescents or young students without any work experience, probing into their plans and ideas for their future careers and their reflections after their attempt to act. The benefits that career-oriented purpose brings to adolescents not only deeply influences these adolescents’ careers but also their personal self-identity and lives. The development of career-orientation purpose is greatly under the influence of one’s cultural background and experience of growth, yet only a small number of studies explore the family context within which the career-oriented purpose development in adolescents is influenced. The current study was based on family strengths, exploring the family strengths factors that influence the career-oriented purpose in adolescents and understanding the influences on the career-oriented purpose development. Overall, the purpose of this study was to explore parents’ and their children’s family strengths experience, which facilitate the development and the influence process of careeroriented purpose development in adolescents. The research questions addressed in the current study are as follow:(1)What are the facilitating factors and family strengths with which the awareness of parents facilitates the development of their adolescent children’s career-oriented purpose?(2)What are the family strengths with which the awareness of adolescent facilitates their career-oriented purpose development?(3)What are the influential experiences of family strengths in the career-oriented purpose development?(4)What are the family strengths that facilitate the career-oriented purpose in children?The participants (N = 30) were 15 students along with one of their parents. The student participants were 6 boys and 9 girls between 14 and 23 years old (M = 17.87, SD = 2.95). Four of them were junior high school students, four were senior high students, 6 were college students and 1 was a graduate school student. The parent participants were 11 mothers and 4 fathers between 39 and 59 years old (M = 47.93, SD = 5.46). We conducted one-to-one individual interviews with the participants based on a semi-structured interview prototype and the collected data were analyzed with qualitative grounded theory. The parent interview questions are divided into four concepts: (1) The concept related to careers–the influence that the parents give to or the action that they take for their children, addressing questions like “what do you do to assist your children in exploring their interests?” (2) The concept related to family strengths or memorable moments that the parents bring to their children, addressing questions like “what are the things that you like most about your family?” and “how do these things influence your children’s ambition development.” (3) The concept related to conflicts and challenges, addressing questions like “when confronting conflicts or disagreement with your children when you have different opinions toward their career choices, what have you been doing to cope with these conflicts?” (4) The concept related to adjustment and reflections, addressing questions like “what do you realize or learn most after you have experience of dealing with your children’s parental education?”The children interview questions are divided into four concepts: (1) The concept related to family-related aspects that influence their ambitions, addressing questions like “what roles do your families play during the development of your ambition?” (2) The concept related to family strengths or memorable moments related to their family, addressing questions like “what are the things that you like your family most?” and “do these things have influence on your career ambition?” (3) The concept related to conflicts and challenges, addressing questions like “what do you and your parents do to cope with the pressure related to your career choice?” (4) The concept related to overall influence and feedback, addressing questions like “what do your family bring to you on the path to achieve your ambition?” and “what impressed you the most and what did you learn from this experience?”After we explained and clarified the relevant information to the participants via invitation letters, the participants signed the consent letters and joined the research study. The current study provided complete training to the interviewers, conducted pilot study, and fully explained interview procedures to the school guidance and counseling office, which served as a gatekeeper to protect the rights and welfare of the participants. We also gave a gift around NTD200 to each participant as a token of appreciation for their participation.The current study is based on credibility, transferability, reliability, and verifiability (Lincoln & Guba, 1985) as the indicators to verify the reliability of the study. For study reliability, the interviewers in the current study wrote counseling notes after every interview. Besides, we conducted study analysis with research analysts to triangulate research findings.Family strengths in the perspectives of parents consists of career aspects and general aspects. Career aspects show that the elements of family strengths are derived from career aspects, including valuing and encouraging children’s efforts, providing resources and participating, openness and independence, career support and affirmation, flexible and adjustable parenting attitude towards different personalities and needs, and being a role model for children. General aspects in family strengths indicate general, comprehensive, and complete strengths in life. These general aspects are not prone to career aspects but include an expectation to convey an idea and company and a close connection to one another. Family strengths in the perspectives of children are respectively induced into career and general aspects based on analysis results of the study. Career aspects refer to the strengths that are prone to career strengths, including the guidance on and encouragement to career exploration, learning from their parents who are their role models, financial and informational support, being liberal and supportive, and a flexible and adjustable way of parenting. General aspects are related to the family strengths in life and other fields, including receiving expectation and building life value, caring, trust and close, intimate interaction.Facilitating factors of family strengths experience from parents include the ability to reflect and get feedback and learning from parental roles, valuing family beliefs and commitment, past career experience, work resources and influential experiences, religious beliefs, and strengths obtained from other resource. The influences of family strengths experience on children’s career development include enlightenment ambition exploring, career concern and thoughts initiating, career information obtaining and career direction confirming, career direction establishing and action strengthening, career calling value setting, multiadaptability developing, and career confidence and motivation gaining.After the results were induced, the career-oriented purpose developed is beneficial to family strengths experience, and its significance and meaningfulness further formed a dynamic family strengths system. Family strengths share some aspects between parents and children, and the constructed dynamic family strengths system influences career-oriented purpose in children as well as reinforces parenting experience in return. The cycle of this dynamic system continuously progresses as children grow with time.Based on the results, the study established an impact process model of a family strengths to facilitate career-oriented purpose development. We also make some suggestion for practitioners: (1) Parents play key roles in promoting family strengths for adolescents. Counseling practitioners are suggested to assist parents by empowering them in developing more facilitating factors of family strengths developed in the current study. For example, counseling practitioners may guide parents to reflect and learn parenting roles as well as examine past experience of growth and value passed on in the family to increase awareness of related strengths. In this way, parents may understand more internal and external resources, with which children may utilize to face challenges. (2) Family educationist may advocate the importance of parenting relationship and family time, encouraging to cultivate more family strengths. (3) Career practitioners may put emphasis on the importance of parents’ involvement and participation in their children’s career exploration. Career practitioners are suggested to lead investigations into family strengths for adolescents to reinforce their action and sense of hope. Family value and value that are passed on are subtle but significant family strengths. Parents and children can work together to explore, realize, and exert the influence of family strengths. Future studies may include other contexts involved with career-oriented strengths. They may also develop a family strengths scale for adolescents to further explore the correlations among important career-related variables of family strengths, career-oriented purpose, and career adaptabilities and the correlations among variables of family strengths, personal strengths, and careeroriented purpose.",http://epbulletin.epc.ntnu.edu.tw/contents/manage/detial.asp?id=2952,54.1,2022,Bulletin of Educational Psychology
A Study on the Effect of Integrating Hope Theory into the Teaching of Group Counseling Courses,"Lih-Horng Hsieh, Pei-Shan Tsai","hope theory, group counseling, group leadership, group leader","This education-related study explored the effect of hope theory being integrated into the teaching of group counseling courses on leadership abilities in group counseling and learning motivation for students at the bachelor’s level. The study involved 64 participants who were junior college students from two classes in the Department of Guidance and Counseling at an institution in Taiwan. Three elements of hope theory, namely goals, pathway thinking, and agency thinking, were integrated into the teaching process and the teacher’s instructional attitude, and the content of the group counseling curriculum was structured to impart group leadership skills to students. Furthermore, a curriculum design and arrangements that promote students’ involvement in learning were applied to help them learn effectively. Before and after the students undertook the group counseling course, the Group Counseling Leadership Scale and the Chinese Domain-Specific Life Goal Scale–Academic were utilized as measurement tools to discern the effects of the group counseling course. After course grades were assigned, the students were invited to complete the open questionnaire and participate in focus group interviews. The data from the questionnaire and interview served as the basis for the qualitative analysis in this study.Through phenomenological content analysis, the data were clustered into three themes: the positive effects of the integration of hope theory into teaching strategies on learners, the key elements that impacted learners’ sense of hope in academic learning, and the benefits of hope theory being integrated into the group counseling curriculum for effective learning of group leadership. In the first theme, the positive effects of the integration of hope theory into teaching strategies on learners were grouped into two subthemes. The first subtheme was regarding the teaching strategy that involved providing clear learning goals in assignments such as group planning and presentations. This can encourage learners to adopt various learning strategies, such as reading, researching, consulting senior graders, reviewing prior learning materials, and discussing with peers. To prepare group presentations, the students thus become self-motivated to understand group counseling theories and acquire pre-group preparatory skills in depth. Peer work itself also promoted learners’ active involvement and reciprocal learning in the process. For the second subtheme, in the teaching strategies of the hope theory integrated into the curriculum, especially with weekly hope-theory-based worksheets, learners could set goals, plan their learning, and seek methods to help them implement the learning and achieve their goals. The respondents of the interview and questionnaire stated that both the learning direction and guidance in the weekly worksheet provided reference and learning opportunities on the basis of which learners could set concrete goals. This is especially beneficial for learners who want to learn but have difficulties finding an orientation. However, learners have vacillating evaluation of their goals and confidence to achieve them. A few learners may value the implementation of practical actions and the simultaneous output of the results. They then engage in a certain degree of self-judgement by, for example, being judgmental for not working sufficiently hard in their evaluation, which may influence their agency thinking. Overall, the respondents stated that they were guided to establish effective learning habits and that they would like to continue those habits.In the second theme, the learners’ sense of hope in academic learning was influenced by various personal factors such as personal goals, past learning experience, and habits. Notably, both the teaching strategies and instructional attitudes of the teacher with hope theory integrated into the curriculum had positive influences on learning experience, learning motivation, and confidence in learning. The data in the second theme were grouped into two subthemes. In the first subtheme, under the studentcentered teaching principle, the teacher constantly seeks methods to motivate and encourage students to learn effectively. For example, the introduction of vacillating to hope theory and the weekly hope-theory-based worksheet was arranged to guide and encourage learners to apply concepts of hope theory in their learning throughout the course. The respondents shared positive feedback on having confidence in learning especially after actually accomplishing their goals. The second subtheme entailed the instructor giving positive and constructive feedback to the students. The respondents stated that the teacher recognized and highlighted the learners’ strengths; they further strengthened the learners’ theoretical foundation and its application through nonjudgmental feedback about learners’ presentations. The instructor’s constructive feedback inspired positive feelings and experience among the learners, who were more willing to accept feedback provided in a positive spirit. As such, the instructor could motivate students to expand pathway thinking and enhance their agency thinking.The third theme concerned the benefits of hope theory being integrated into the group counseling curriculum for effective learning in group leadership. To integrate the hope theory into the curriculum, the teacher created the content for group counseling on the basis of the group leadership capabilities that the learners should possess, including psychological and behavioral characteristics of group leaders, professional ethical behaviors of group counseling, pre-group preparatory skills for group conduct, and leadership skills. The responses from the learners indicated that a well-planned curriculum requires substantial effort by the learners. The teacher also requires considerable learning input from students. However, when learners understand that both the plans and requirements set by the teacher are reasonable, their levels of agency in learning increase and their academic performance also improves. In addition, learners are motivated and encouraged by the teacher’s genuine constructive feedback. The teacher’s diligent attitude and teaching by example and precept evidently play the role of demonstration, thereby piquing the interest of the learners and motivating them to learn. The statistical results indicated that after the hope theory was integrated into the group counseling curriculum, the overall group leadership abilities improved, especially in terms of the psychological and behavioral characteristics of group leaders, theoretical foundation, pre-group preparatory skills, leadership skills in group process, and professional ethical behaviors of group counseling; among these, the improvement in theoretical foundation was most significant. The average score of hope in academics increased after the courses were completed but was not significantly different from that before the courses. However, higher hope of students was positively correlated with superior leadership in group counseling. The qualitative analysis in this study revealed the meanings, effects, and feasibility of group counseling teaching being integrated with hope theory.The present study on the effect of integrating hope theory into the teaching of group counseling courses suggests that a follow-up curriculum could adopt the method of cooperative learning based on the learning methods of mutual assistance, support, discussion, and motivation among peers to achieve learning goals, thereby enhancing the sense of hope in academic learning, the motivation for active learning, and the effects of learning.Because this study did not involve a control group, the causal relationship between learning effectiveness and the integration of the hope theory into the teaching strategy could not be determined. The results can be used only for reference for the improvement of teaching design and implementation methods. Therefore, future studies should adopt experimental methods or adopt research designs similar to countermeasures to obtain more results on the cause and effect of learning effectiveness.Given the possible delay effect of the research on the sense of hope, future studies can increase the number of questions in the tracking questionnaire to explore whether learning is more effectively internalized after a period of digestion after the course, which may thereby increase the hope score.",http://epbulletin.epc.ntnu.edu.tw/contents/manage/detial.asp?id=2953,54.1,2022,Bulletin of Educational Psychology
Resilience Among Students of Elementary School With and Without Learning Disabilities: Person-and VariableFocused Approaches,Wan-Feng Chang,"mental health, risk factor, protective factor, resilience, learning disabilities","Students with learning disabilities (LD) have difficulty with their basic learning abilities, such as listening, speaking, reading, writing, and calculating, because of problems in their neuropsychological functions. LD also has negative effects on an individual’s learning process and social emotions. The self-efficacy and motivation of students with LD are lower than those of students without LD. Studies have reported that students with LD have poor mental health. The presence of an LD is a risk factor for mental health concerns, and the identification of mental health risks and protective factors for individuals with LD is necessary to design effective intervention models. Most previous relevant studies have recruited students without LD, and only a few have recruited those with LD.A few studies have employed multiple methods that combine person-focused strategies with variable-focused strategies because they offer complementary methodological strengths. Person-focused models can be used to identify resilient people and understand how resilience develops by comparing the resilient with those who are not, namely those who are not faring well in adverse situations and have not experienced any threats to their development. A variable-focused approach focuses on the relationship between the indices of stress or adversity and the influencing factors of resilience and psychosocial functions. In summary, person-focused methods recognize the functions of a person as a living system, whereas variable-focused methods can be used to delve deeper into specific processes. The present study attempted to use these two approaches to attain a more comprehensive understanding of resilience among students with LD. In previous studies, students with LD were not considered the reference group; thus, we lack evidence on whether the resilience of students with LD differs from that of students with LD. Finally, this study explored the resilience mechanism of students with LD and can be used as a reference to determine how to provide support and assistance to students with poor mental health.The study group of this research was composed of students with and without LD who were in grades 3 to 5 at elementary schools in Kaohsiung City. They were selected during the second semester of 2017 using the stratified purposeful sampling method. With parents’ permission, 802 students participated in this study, including 275 third graders, 269 fourth graders, and 258 fifth graders from 13 elementary schools. A total of 375 students had LD, including 113 third graders, 132 fourth graders, and 129 fifth graders from the resource classes in 55 elementary schools. Given the reading ability of students with LD, reducing the length of the questionnaire was necessary so that they could complete the survey. The study instruments included protective factors, mental health questionnaires, and academic achievement tests. The questionnaire on protective factors and mental health included five internal protective factors (i.e., physical self-concept, emotional self-concept, mathematics self-concept, Chinese self-concept, and self-efficacy) and three external protective factors (i.e., teacher support, peer support, and parental support), as well as mental health. The items in the questionnaire were scored from 4 (strongly agree) to 1 (strongly disagree), with higher scores indicating greater levels of performance. The academic achievement test included their achievements in Chinese and mathematics. These two instruments have demonstrated satisfactory reliability and validity. For the person-focused approach, students with LD were classified into four groups through cluster analysis on the basis of the indices of both their mental health and academic achievement. A two-step method was applied to cluster the students. The protective factors in the different clusters of students with LD were compared. Furthermore, this study compared the protective factors in different clusters to determine whether there were significant differences between students with and without LD. For the variable-focused approach, the direct and the indirect modes were used to examine which protective factors could be used to predict the mental health of students with and without LD. A path analysis was used to test the direct and indirect model between the protective factors and mental health. In the direct model, the researcher assumes that each protective factor is positively correlated with mental health whereas the risk factors (mathematics and Chinese achievement) are negatively correlated. The indirect model was used to examine the hypothesis that self-efficacy acts as a mediator in the relationship of social support and self-concept with mental health. The main hypothesis of the variable-focused approach was tested using an application for structural equation modeling and by employing AMOS 22.Through the person-focused approach, the results obtained for the variables for students without LD were significantly higher than those for students with LD. In particular, the differences in their mental health and self-efficacy were large effect size, whereas the differences in their Chinese and mathematics achievements were more significant. After grouping the students through cluster analysis, four subgroups of students with LD were formed based on the following indicators: those high on mental health and high on academic achievement (positively adjusted, 29.26%); those high on mental health and low on academic achievement (resilient, 32.67%); those low on mental health and high on academic achievement (maladaptive, 10.80%); and those low on mental health and low on academic achievement (vulnerable, 27.27%). Students without LD were also divided into the same four groups (positively adjusted, 30.88%; resilient, 29.33%; maladaptive, 10.80%; and vulnerable, 11.24%). Regardless of whether the students had LD or not, no significant differences were observed in any protective factors for the two groups of students who were resilient and positively adjusted; however, a significant difference in academic achievement was observed. Between the two subgroups with similar low academic achievements, no significant differences in protective factors were noted. The present study discovered that students with LD and resilience had poor academic achievement but good mental health and the protective factors played a key role; among the two subgroups of students with LD with similar academic achievements, the protective factors for those at high risk were also higher.The academic achievement of the subgroup of resilient students with LD was poor, but the students exhibited better psychological adaptation than those who were maladaptive, mainly because of the protective factors. Among the two subgroups of students with LD who had similar academic achievements, the protective factors of the highly vulnerable students were lower than those of the competent students. In this study, the proportion of resilient and competent students with LD was approximately 50%. The proportion of students without LD in the resilient and competent subgroups was similar to that of students with LD. The results suggest that the protective factors are important to the mental health of both students with and without LD. Academic and cognitive difficulties do not necessarily have negative effects on the mental health of all students with LD. Declining mental health can be prevented or slowed by using protective factors, which enable students with LD to achieve different adaptation results.In the results of direct model in students without LD, emotional self-concept, Chinese self-concept, self-efficacy, and peer support predicted their mental health; by contrast, in students with LD, emotional self-concept, self-efficacy, and peer support, as well as parental support, were positively correlated with mental health. In the indirect model of students without LD, selfefficacy served as a mediator between emotional self-concept and parental support for mental health, whereas for students with LD, self-efficacy partially mediated the relationship between parental support and mental health. The results of the direct model indicated that mental health was significantly associated with protective factors. Therefore, regardless of whether the students had LD or not, protective factors enhanced the mental health of individuals, although the key factors differed between the two groups. In the indirect model, the study results revealed the mediating effect of self-efficacy among students without LD on their mental health parameters, including physical self-concept, emotion self-concept, Chinese self-concept, parental support, and peer support. These parameters directly influence the individuals’ mental health and are associated with mental health through self-efficacy. Among students with LD, emotional self-concept and peer support had a direct positive correlation with their mental health, whereas parental support enhanced their mental health by bolstering their self-efficacy and, in turn, improving their mental health. Additionally, the physical and Chinese self-concepts only had a direct positive correlation with self-efficacy. Thus, the self-efficacy of the students with LD is crucial for their mental health. The results indicated that the protective factors of students with LD, such as social support and self-concepts, can enhance mental health. Finally, based on the results, this study proposes suggestions for future research and practice.",http://epbulletin.epc.ntnu.edu.tw/contents/manage/detial.asp?id=2951,54.1,2022,Bulletin of Educational Psychology
"Suffering, Transformation, and Healing: a Situational Structure–Based Therapeutic Approach Developed Based on Daily Psychological Change",Yi-Jen Lu,"situational structure therapeutic approach, process of psychological change, existential phenomenology, counseling and psychotherapy","Suffering, transformation, and healing are key aspects of counseling and psychotherapy. In this study, we explored daily psychological change to develop corresponding therapeutic perspectives and frameworks. Empirical existential phenomenology studies on suffering and psychological change have revealed that an individual’s perception of suffering arises from the rejection of an existing situation and the unfeasibility of an expected situation to come into being; the disaccord between the existing and expected situations leads to a state of rootlessness. The steps involved in the transformation of suffering into healing are as follows:(1) The sufferer uses emotion as a tool to reflect on the feasibility of the original project and the meaning of the world.(2) The sufferer conceives of the experience of transformation as a process of learning, in which the key is to revise the original project and accept the world as a threat.(3) By perceiving transformation as learning in the context of painful emotions and accepting the new perspectives offered by others, the sufferer discovers that the unfamiliar situation they encounter differs from that encountered in the past and they start resolving the conflict between their past and present; this process includes the individual’s willingness to resolve their problems, a new understanding, and acceptance of their past, and a struggle to resolve the contradiction across the three dimensions of time: past, present, and future.(4) After the painful learning process, the sufferer is presented with new situations or possibilities and can commit to a new future.The aforementioned learning process has several therapeutic implications. First, individuals should view suffering as a problem that must be solved and develop an expectation that the problem can be solved. A problem indicates that the existing situation can no longer be explained or managed based on the individuals’ previous experience and they must develop another strategy to solve it. Expectation suggests that the sufferer is impatient with their current situation and must find another means to solve their problem. Therefore, at this stage of therapy, emotional exploration and determination should be the central aspects. Second, the process of learning involves a new understanding of the past, an exploration of future expectations, and an integration of the differences across the three dimensions of time. Therefore, therapists should not only help their patients to explore the past but should also discuss with them the past in the context of future expectations. During treatment in the present (now), the differences between the past and future dimensions should be resolved. At this stage, treatment should be focused on facilitating the emergence of “polysemy” in the patient’s situation. Third, learning is a process of problem-solving that involves perceiving previous experiences as false and developing the appropriate strategy to cope with a new situation. Therefore, while promoting the polysemization of their patient’s situation, a therapist should also explore how the patient responds to a situation and gradually revise the existing project of their clients. Finally, in the process of learning, the individuals who are suffering perceive and approach their problems based on similar problems encountered by others and their acceptance and recognition of their problems; thus, these individuals consider the external or existing theories as a new framework that enables them to understand everything that happens to them. Therefore, treatment should include the provision of a new perspective and framework to help the sufferer to understand their own experience differently. Therefore, therapists, like others, must facilitate self-reflection among their patients and provide a new framework or formal theory, thus helping the patient to reflect on themselves and use the new framework to understand their situation better. In addition, therapists should recognize, accept, and witness the improvement in their patients as they move toward a different future.In this study, a therapeutic perspective and framework were developed based on the theory of situational structure, which comprises situations and projects. A situational structure is not subjective because it involves people and tools other than oneself. These situations cannot be selected or controlled. However, the situational structure is not objective either because the situation is illuminated for individuals’ projection and the situational structure is unique across people and exists only for oneself. We can interpret the world and a situation in a certain manner, always projecting our next step and future. Fischer (1986) argued that a project is a basic unit and core construction of human psychology. Humans can be defined by a series of interrelated and sometimes discrepant projects. A project is “action from the past towards the future,” and projecting always relates to a situation. In situations, we make decisions and projects for the future; all our actions are bound within situations. Without reflection in our lives, we perceive situations as the cause and determinant of our actions; therefore, we often feel constrained and decisive by situations. Sartre (1943–2000) contended that a situation offers motives rather than causes. We tend to translate our factual understanding of ourselves into our situation. Our understanding of a situation is based on our previous and current experiences and forms the basis for our future actions. In this regard, a situation is a motive for future actions; an individual chooses to perceive a situation in a certain manner and respond to it. Therefore, in therapy, the situation is not considered a determinant of a patient’s behavior but rather a motivator. Understanding the deep context motivating their patient’s behavior may help therapists decipher what the patient is attempting to respond to through such behavior. Generally, a patient’s behavior is a response to their situation, although they may not be aware of it sometimes.The psychological distress associated with a humanistic orientation arises from the conflict between an individual’s project and the world in which they reside. Psychological distress may persist if one considers that the individual and the world are in an unchangeable fallen state. Symptoms and psychological distress are regarded as resulting from an individual’s lack of patience to remain in an unauthentic state. Therefore, symptoms and psychological distress indicate a desire to pursue authenticity and positive outcomes. Heidegger’s uncanny and Sartre’s bad faith were used to explore the meaning of suffering and develop a therapeutic approach based on existential phenomenology. This article describes the therapeutic significance of emotion, situation, and project in detail. In addition, a specific framework of treatment is proposed, which includes the following:(1) The meaning of experiencing suffering emotions is explored. Emotions indicate the pain experienced by individuals from remaining in their current situation and the expectation of overcoming the situation. The contradictory meaning of a situation can be understood only by considering the meaning of it vis-à-vis in terms of emotions.(2) A patient’s willingness to change must be strengthened. Through a discussion of the meaning of a situation based on emotions, therapists can help their patients view themselves as the cause of their actions, rather than as the result of their situation, and this can enhance the patient’s willingness to change.(3) Polysemization of the situation is essential. Through Sartre’s progressive–regressive method, therapists can discuss their patients’ situations across the three dimensions of time. Furthermore, the patients’ understanding of their situations can be polymerized through a discussion of existential anxiety and guilt.(4) The original project must be revised. Based on a new understanding of the past–present–future situation, therapists can discuss the dilemma or conflict in their patients’ situations and help develop a framework for the future that the patients can project concretely. Furthermore, healing is a process of transformation from inauthenticity to authenticity.",http://epbulletin.epc.ntnu.edu.tw/contents/manage/detial.asp?id=2950,54.1,2022,Bulletin of Educational Psychology
Effect of Social Support on the Spiritual Health of Older Adults: Evaluation of the Mediation Effect,"Meng-Fan Li, Yang Shih","older adults, social support, spiritual health, mediation effect","The average life expectancy of humans is on the rise; however, the quality of life is more important than the length of life. Spiritual health is a part of an individual’s health and spiritual state; it refers to the dynamic process of balancing the internal and external states of an individual. The internal aspect of spiritual health refers to the integration of an individual’s past, present, and future and the balancing of the body, mind, and spirit. The external aspect of spiritual health is related to harmonious coexistence with other people, objects, and nature. The present study focused on the spiritual health status of older adults, which refers to the harmonious coexistence of person, community, and environment as well as transcendence. Establishing a harmony spiritual status is particularly important, while older adults may face many life events, such retirement, disease, disability, widowhood, …etc. during their old age life. In a near future super-aged society, spiritual health is regarded as a key aspect of holistic care.Social support is a vital resource for older adults. It is the state in which individuals feel, perceive, accept care, or receive assistance from others in their support network. The main effects model suggests that regardless of the level of pressure, such as disease, retirement, widowhood, social support confers certain benefits in terms of improved physical and mental well-being. Relevant studies have validated that social support exerts a positive and direct effect on the quality of life of older adults. In this study, social support was categorized into four types: emotional, tangible, informational, and esteem support. Older adults were requested to self-assess their subjective feelings about each of the aforementioned types of social support.Social support reportedly enhances well-being in older adults. Studies have been conducted focusing primarily on the effect of social support on physical or mental health. Some studies have highlighted that a social support network functions as a mediator that affects the life satisfaction of older adults; it also reduces depression among these people, particularly due to the emotional support entailed by social support. The study was conducted because of the lack of relevant studies on the effect of social support on the spiritual health of older adults in Taiwan. We further evaluated the possible mediation effect of social support on factors influencing the spiritual health of older adults.This study included community-dwelling older adults aged ≥ 65 years who were living in Taipei City. Stratified random sampling was performed in 12 administrative districts. A total of 24 community senior care centers were randomly selected in consideration of the proportion of such centers in each district. For each of these centers, a particular number of samples was determined based on the total number of participants. The participants provided signed informed consent before the commencement of this study.Basic personal variables–independent variables–included the following influential parameters identified through a review of the empirical literature: religious beliefs, self-evaluated economic status, and perceived health status. Social support was used as a mediation variable to investigate its possible mediation effect. The survey was conducted between September and November 2019. A total of 425 questionnaires were distributed and 325 valid ovies were returned (recovery rate, 76.5%). A structural equation model was used in this study to evaluate the possible mediation effect of social support on factors influencing the spiritual health of older adults.The Social Support Scale, which is a modified version of the scale developed by Iwasaki and Mannel (2000), was used in the present study to assess the level of social support received by the study participants. This scale is divided into four dimensions–informational, esteem, tangible, and emotional support–and comprises a total of 14 questions. The responses are recorded on a 7-point scale, where a score of 1 indicates the strongest disagreement and that of 7 indicates the strongest agreement. Total mean scores were calculated for each dimension; a higher score indicated a higher level of social support. The results of confirmatory factor analysis revealed that the average variance extracted (AVE) value of each subscale was .63- .80, with an overall score of .78, and the composite reliability (CR) value was .84- .94, with an overall score of .93.Spiritual Health Scale for the Taiwanese Elderly (Li & Shih, 2021), which has four dimensions (personal, communal, environmental, and transcendental domains), was used in this study to evaluate the spiritual health of the study participants. The results of confirmatory factor analysis revealed that the AVE value of each subscale was between .61 and .79, with an overall score of .77, and the CR value was between .82 and .92, with an overall score of .93. Both of the aforementioned scales exhibited good reliability and validity.The results of the study demonstrated that the structural model fit appropriately and met the standard. The results of path analysis revealed that the primary factors influencing the spiritual health of perceived older adults were social support and religious belief. Overall social support exerted a positive effect on the spiritual health of older adults; it completely mediated the effect of self-evaluated economic status on spiritual health and partially mediated that of perceived health status. Future studies must give special consideration to economic status when investigating the spiritual health of older adults. Furthermore, esteem support, which is a sub-dimension of social support, exerted the highest level of effect on spiritual health. It completely mediated the effect of self-evaluated economic status on spiritual health and partially mediated those of perceived health status and religious belief. Finally, having or not having a religious belief directly affected the spiritual health of older adults. Only esteem support partially mediated the effect of religious belief on the spiritual health of older adults.This study suggests that older adults, who receive esteem, emotional, and informational supports from their social network, can have better spiritual health. Gerontological and family education for family members, professional elder service providers, and volunteers, can emphasize on the importance, the meaning, and value of social supports for older adults. The community senior care centers can provide a friendly climate and environment through an understanding of older adults’ life experience with multidimensional supports.As noted, religious belief directly affects the spiritual health of older adults; however, it exerts no significant effect on the sub-dimensions of social support, except for esteem support. Therefore, older adults could be encouraged to cultivate a religious belief and participate spiritual activities that accord with their worldview. In addition, they could be motivated to explore the deeper meaning of life and death, which will help improve their spiritual health.Future studies should include older adults from both urban and rural communities and compare these communities in terms of the effects of social support on the spiritual health of older adults. Furthermore, whether the reciprocity of social support affects the spiritual health of community-dwelling older adults must be investigated.",http://epbulletin.epc.ntnu.edu.tw/contents/manage/detial.asp?id=2954,54.1,2022,Bulletin of Educational Psychology
