title,author,keywords,abstract,url,vol,year,journal
What Does 'Langue' Mean from Saussure's Perspective?,Yu-Chai Lai,"Langue, relations, prototype, Saussure, langue, system","In the field of communication, the importance of the concept of langue, which was brought into attention by Saussure's seminal work on language, cannot be too much exaggerated,. But Saussure did not give a clear definition of langue. Based on my reading of Saussure, Ⅰ find that the concept 'langue' has two meanings. ""Langue' may be seen as a 'system', in which its components, signs, are interdependent of each other. 'Langue' also refers to the rules governing language, such as the rule of combination. To sum up, langue is a network in which signs are linked to each other in various forms such as association, differentiation and combination.",http://cjctaiwan.org/issueArticle.asp?P_No=19&CA_ID=149,6,2004,Chinese Journal of Communication Research
"""Wombat"", Who Are You? Enlightenment from Saussure's Semiology and His Limitation",Pei Tsai,"Saussure, semiology, structure, parole, meaning, value","The present paper attempts to examine how Saussure finds meaning in the linguistic structure and at the same time to point out to the limitation of the Saussrean conception of language, which, in my opinion, is restricted to a relatively static view of meaning. Saussure argues that meaning rests on the value of signs, which in turn derives from the interactions among difference, negation, syntagm and association. Saussure fails to pay adequate attention to the interactions among object, person and sign and therefore the influence of context.",http://cjctaiwan.org/issueArticle.asp?P_No=19&CA_ID=150,6,2004,Chinese Journal of Communication Research
"Escape from Saussure's System: The Combination, Separation, and Recombination of the Signifier and the Signified",Yu-Chung Cheng,"Saussure, sign, signifier, signified, meaning, signification","This article begins with an overview of the premises of the Saussurean linguistics, which postulates that signification rests upon the association between the signifier and the signified. However, this article proceeds to argue that Saussure fails to account for recent linguistic phenomena such as the hybrid language which characterizes communication in the internet. Moreover, Saussure may not have foreseen the tendency to employ language for enjoyment in addition to signification. The rise of the hybrid language points out to the possibility that language could serve both the purpose of enjoyment and signification through the combination, separation and recombination of the signifier and the signified.",http://cjctaiwan.org/issueArticle.asp?P_No=19&CA_ID=151,6,2004,Chinese Journal of Communication Research
How the Concept of Arbitrariness Informs the Study of Meaning?,Ya-Hui Chen,"arbitrariness, identity, name-changing, movement, Nomenclature, Saussure, value","Starting from the concept of arbitrariness as postulated by Saussure, this article will examine how the concept of arbitrariness leads to the departure from the previous linguistic theories and to the rise of new thinking in linguistics. In contrast to the pre-Saussurean linguistics, the concept of arbitrariness argues that sign does not correspond to reality, and as a corollary, that the signifier has no natural connection with the signified. In addition, the concept of arbitrariness points out to the constraints in the process of signification. To illustrate, this article applies Saussure's linguistics to examine the mechanism of the name-changing campaign in Taiwan.",http://cjctaiwan.org/issueArticle.asp?P_No=19&CA_ID=152,6,2004,Chinese Journal of Communication Research
The Galaxy of Linguistics: The Transformation of Associative Relations,Shu-Fen Yang,"Saussure, associative relations, sign, linguistic structure, communication, cyber words","Linguistic structure, as the core component of languages, is the outcome of individual mind as well as social convention. To be specific, linguistic structure, with the faculty of association and coordination, performs the signification and communication. This study is to examine the transformation of linguistic structure out of the associative relationships in ideographs, alphabetical languages and cyber words. It is suggested that the cyber words characterized by a metamorphosis of various languages, have resulted in a proliferation of forms of associations, which increases complexity in communication.",http://cjctaiwan.org/issueArticle.asp?P_No=19&CA_ID=153,6,2004,Chinese Journal of Communication Research
Patronizing Speech in News Interviews: A Further Discussion of the Reporter-Source Interaction,"Hui-Chun Su, Kuo-Jen Tsang","life-span studies, aging research, patronizing speech, speech accommodation theory, communication accommodation theory","The purpose of this study aims to continue the plethora of earlier research on the reporter-source interaction by exploring how the interaction is made possible through the process of accommodated communication. The concept of ""patronizing speech,"" well-known in the aging studies, was adopted to discuss how the reporter changes the speech strategy in news interviews by using either the so-called ""secondary baby talk"" or overly personal talk.",http://cjctaiwan.org/issueArticle.asp?P_No=19&CA_ID=155,6,2004,Chinese Journal of Communication Research
"A Historical Review of the TV Drama Programs in Taiwan's Three Wireless TV Companies, 1962-2002",Yean Tsai,"television, drama, history","The purpose of this research is to review how the three wireless TV companies in Taiwan programmed their drama series in the past 40 years. Three major questions are raised, including what early programming strategies and methods were, how important works and experiences were involved, and how the public opinion aimed at these programs. In-depth interview and historical research methods are employed to investigate the development of TV drama programs. Important staffs, events and TV drama series are documented. In general, the content of the TV drama programs is found to be unsatisfactory by the public opinion over the past 40 years. The research then concludes that the lack of cultural and political supports should be the main factor, and building a strong artistic environment for the TV drama programs is desperately needed.",http://cjctaiwan.org/issueArticle.asp?P_No=19&CA_ID=156,6,2004,Chinese Journal of Communication Research
Who Gains Access to the Media? A Study of Contribution to Opinion Page in Terms of Cultural Capital,Tzong-Sheng Deng,"access to media, social responsibility, culture capital, public sphere","The present study aims to examine who gains access to opinion page in the newspaper in terms of Bourdieu's concept of cultural capital. This study found that elites, compared to the ordinary people, are more likely to gain more access to the opinion page. In addition, the newspaper tends to highlight the title and profession of contributors, which articulate status and power, whereby symbolic violence may find its way into opinion page and may furthermore reduce the public's incentive to access the media. As a public good the media should strive to insure public access to the media. The public should be aware of the fact that the media is part of the public sphere and take an active role to access the media.",http://cjctaiwan.org/issueArticle.asp?P_No=19&CA_ID=157,6,2004,Chinese Journal of Communication Research
Education and Practice in Inter-Cultural Communication,Becky Jung-Hui Yeh,"education, intercultural communication, pedagogy, practice, multicultural","This paper examines the current conditions and beliefs of intercultural communication curriculum, based on ten experienced instructors concerning syllabus designs, teaching methods, and focused issues in class. In-depth interviews are conducted to solicit how instructors perceived the function of intercultural communication, and how culture-related theories and concepts can be put into practice and worked out in daily life. The instructors suggest a promotion of students' concerns and interests on social/cultural issues in lectures or in class discussions, to raise cultural awareness and sensitivity.",http://cjctaiwan.org/issueArticle.asp?P_No=18&CA_ID=143,7,2005,Chinese Journal of Communication Research
Rethinking Diversity Index Measuring and Statistic Problems in Media Content Analysis,Kuo-Feng Tseng,"diversity, index measuring, content analysis, categorization, content statistics","Diversity has been an important communication policy, but there are many different and confused definitions in previous researches. This paper tries to clarify the concept of diversity which has been discussed for a long time in media research. This paper also tries to propose a combined model of ""diversity"" to include different definitions and relationships based on previous literature reviews. In addition, this paper points out several categorization and statistic problems in content analysis and emphasizes that researchers should not over explain the results they found.",http://cjctaiwan.org/issueArticle.asp?P_No=18&CA_ID=144,7,2005,Chinese Journal of Communication Research
The Third Person Effect of Slimming Advertisement,"Mei-Ya Lin, Chien-Yi Chiang, Wei-Hung Tsai","body image, involvement, the third person effect, slimming advertisement, social distance, social pressure","Previous researches of slimming advertising are mainly focused on the construction of female body images and myths. This research focuses instead on the examination of slimming advertising. This research concludes that the third person effect is suitable for the research of slimming advertising. ""The social distance hypothesis"" proposed in this research is not supported by the evidence shown in the survey result. The result shows that not only men are more likely to think that slimming advertisement has produced greater effects on their female counterparts, but women are also having the same thoughts, even more so. This research has made an interesting finding by pointing out that the degree of involvement in certain conditions may lead to ""reversed third person effect"".",http://cjctaiwan.org/issueArticle.asp?P_No=18&CA_ID=148,7,2005,Chinese Journal of Communication Research
